IdIngredient;IngredientNameEN;IngredientNameFR;IngredientSynonymEN;IngredientSynonymFR;CategoryEN;CategoryFR;ContituentIngredientsEN;ContituentIngredientsFR;IngredientPrice
15;Blackberry Brandy;Brandy de mûre;blackberry-brandy;brandy-mûre;Beverage Alcoholic;Boisson alcoolisée;Blackberry Brandy;Brandy de mûre;13.93741431
16;Cherry Brandy;Brandy de cerise;brandy-cherry;brandy-cerise;Beverage Alcoholic;Boisson alcoolisée;Cherry Brandy;Brandy de cerise;14.02137184
17;Cognac Brandy;Cognac Brandy;brandy-cognac;brandy-cognac;Beverage Alcoholic;Boisson alcoolisée;Cognac Brandy;Cognac Brandy;5.100863901
18;Papaya Brandy;Brandy de papaye;brandy-papaya;brandy-papaye;Beverage Alcoholic;Boisson alcoolisée;Papaya Brandy;Brandy de papaye;4.974624448
19;Pear Brandy;Poire Brandy;brandy-pear, palinka, poire williams, rakia;brandy-poire, palinka, poire williams, rakia;Beverage Alcoholic;Boisson alcoolisée;Pear Brandy;Poire Brandy;4.697851185
20;Plum Brandy;Brandy de prune;brandy-plum, slivovitz, tuica, ljivovica, asliwowica, schlivowitz;brandy-prune, slivovitz, tuica, ljivovica, asliwowica, schlivowitz;Beverage Alcoholic;Boisson alcoolisée;Plum Brandy;Brandy de prune;7.108349829
21;Raspberry Brandy;Brandy de framboise;raspberry-brandy;framboise-brandy;Beverage Alcoholic;Boisson alcoolisée;Raspberry Brandy;Brandy de framboise;11.71881464
22;Weinbrand Brandy;Brandy Weinbrand;weinbrand-brandy;weinbrand-brandy;Beverage Alcoholic;Boisson alcoolisée;Weinbrand Brandy;Brandy Weinbrand;7.307797737
23;Gin;Gin;gin;gin;Beverage Alcoholic;Boisson alcoolisée;Gin;Gin;10.22702297
24;Rum;Rhum;rum;rhum;Beverage Alcoholic;Boisson alcoolisée;Rum;Rhum;5.171720132
25;Whisky;Whisky;whisky, whiskey;whisky, whiskey;Beverage Alcoholic;Boisson alcoolisée;Whisky;Whisky;12.70448682
26;Bourbon Whisky;Whisky Bourbon;bourbon-whisky, bourbon-whiskey;bourbon-whisky, bourbon-whiskey;Beverage Alcoholic;Boisson alcoolisée;Bourbon Whisky;Whisky Bourbon;13.61441929
27;Canadian Whisky;Whisky canadien;canadian-whisky, canadian-whiskey;canadian-whisky, canadian-whiskey;Beverage Alcoholic;Boisson alcoolisée;Canadian Whisky;Whisky canadien;6.796815505
28;Finnish Whisky;Whisky finlandais;finnish-whisky, finnish-whiskey;finnish-whisky, finnish-whiskey;Beverage Alcoholic;Boisson alcoolisée;Finnish Whisky;Whisky finlandais;14.21618931
29;Japanese Whisky;Whisky japonais;japanese-whisky, japanese-whiskey;whisky japonais, whisky japonais;Beverage Alcoholic;Boisson alcoolisée;Japanese Whisky;Whisky japonais;13.92314867
30;Malt Whisky;Whisky de malt;whisky-malt, whiskey-malt;whisky-malt, whisky-malt;Beverage Alcoholic;Boisson alcoolisée;Malt Whisky;Whisky de malt;6.710628359
31;Scotch;Scotch;scotch;scotch;Beverage Alcoholic;Boisson alcoolisée;Scotch;Scotch;10.25123119
32;Wine;Vin;wine;vin;Beverage Alcoholic;Boisson alcoolisée;Wine;Vin;5.274891187
33;Bilberry Wine;Vin de myrtille;bilberry-wine;vin de myrtille;Beverage Alcoholic;Boisson alcoolisée;Bilberry Wine;Vin de myrtille;6.902067737
34;Botrytized Wine;Vin botrytisé;botrytized-wine;vin botrytisé;Beverage Alcoholic;Boisson alcoolisée;Botrytized Wine;Vin botrytisé;9.963040312
35;Champagne;Champagne;champagne;champagne;Beverage Alcoholic;Boisson alcoolisée;Champagne;Champagne;9.585412312
36;Cider;Cidre;cider;cidre;Beverage Alcoholic;Boisson alcoolisée;Cider;Cidre;9.689819283
37;Plum Wine;Vin de Prune;plum-wine;vin de prune;Beverage Alcoholic;Boisson alcoolisée;Plum Wine;Vin de Prune;12.02645103
38;Port Wine;Vin de Porto;port-wine, vinho do porto;porto-wine, vinho do porto;Beverage Alcoholic;Boisson alcoolisée;Port Wine;Vin de Porto;10.14771214
39;Red Wine;Vin rouge;wine-red;vin-rouge;Beverage Alcoholic;Boisson alcoolisée;Red Wine;Vin rouge;6.40682576
40;Rose Wine;Vin rosé;rose-wine, rosada;rose-wine, rosada;Beverage Alcoholic;Boisson alcoolisée;Rose Wine;Vin rosé;10.73581778
41;Sake;Sake;sake;saké;Beverage Alcoholic;Boisson alcoolisée;Sake;Sake;11.06261338
42;Sherry;Sherry;sherry;sherry;Beverage Alcoholic;Boisson alcoolisée;Sherry;Sherry;13.11185754
43;Sparkling Wine;Vin pétillant;sparkling-wine;vin mousseux;Beverage Alcoholic;Boisson alcoolisée;Sparkling Wine;Vin pétillant;8.821503658
44;Strawberry Wine;Vin de fraise;strawberry-wine;vin de fraise;Beverage Alcoholic;Boisson alcoolisée;Strawberry Wine;Vin de fraise;12.73393161
45;White Wine;Vin blanc;wine-white;vin-blanc;Beverage Alcoholic;Boisson alcoolisée;White Wine;Vin blanc;13.98898311
46;Coffee;Café;coffee;café;Beverage;Boisson;Coffee;Café;1.089074254
47;Mate;Mate;mate, yerba;maté, yerba;Beverage;Boisson;Mate;Mate;1.400508056
48;Black Tea;Thé noir;tea-black;thé-noir;Beverage;Boisson;Black Tea;Thé noir;0.888600484
49;Green Tea;Thé vert;tea-green;thé-vert;Beverage;Boisson;Green Tea;Thé vert;1.495045274
50;Roibos Tea;Thé Roibos;tea-rooibos, tea-bush;thé-rooibos, thé-bush;Beverage;Boisson;Roibos Tea;Thé Roibos;1.82592166
51;Barley;Orge;barley;orge;Cereal;Céréales;Barley;Orge;3.168881939
52;Crispbread;Pain croustillant;crisp-bread;croustillant-pain;Cereal;Céréales;Crispbread;Pain croustillant;2.581868605
53;Malt;Malt;malt;malt;Cereal;Céréales;Malt;Malt;1.626248351
54;Oats;Avoine;oat;avoine;Cereal;Céréales;Oats;Avoine;3.575867056
55;Rice;Riz;rice;riz;Cereal;Céréales;Rice;Riz;1.776159017
56;Corn;Maïs;corn, corn-flour, corn-starch, maize-flour;maïs, maïs-farine, maïs-amidon, maïs-farine;Maize;Maïs;Corn;Maïs;1.933468247
57;Corn Oil;Huile de maïs;corn oil;huile de maïs;Maize;Maïs;Corn Oil;Huile de maïs;1.660573054
58;Popcorn;Popcorn;pop-corn;pop-maïs;Maize;Maïs;Popcorn;Popcorn;1.316065857
59;Sweetcorn;Maïs doux;sweet-corn;sucré-maïs;Maize;Maïs;Sweetcorn;Maïs doux;1.694089612
60;Butter;Beurre;butter;beurre;Dairy;Produits laitiers;Butter;Beurre;3.26474479
61;Buttermilk;Babeurre;buttermilk;babeurre;Dairy;Produits laitiers;Buttermilk;Babeurre;3.417712569
62;Cheese;Fromage;cheese;fromage;Dairy;Produits laitiers;Cheese;Fromage;1.419874318
63;Blue Cheese;Fromage bleu;cheese-blue;fromage-bleu;Dairy;Produits laitiers;Blue Cheese;Fromage bleu;1.22890825
64;Camembert Cheese;Fromage Camembert;cheese-camembert;fromage-camembert;Dairy;Produits laitiers;Camembert Cheese;Fromage Camembert;1.115845303
65;Cheddar Cheese;Fromage Cheddar;cheese-cheddar;fromage-cheddar;Dairy;Produits laitiers;Cheddar Cheese;Fromage Cheddar;2.940243625
66;Comte Cheese;Fromage Comte;cheese-comte;fromage-comte;Dairy;Produits laitiers;Comte Cheese;Fromage Comte;1.646962359
67;Cottage Cheese;Fromage blanc;cheese-cottage;fromage-cottage;Dairy;Produits laitiers;Cottage Cheese;Fromage blanc;1.950957154
68;Cream Cheese;Fromage à la crème;cheese-cream;fromage-crème;Dairy;Produits laitiers;Cream Cheese;Fromage à la crème;1.222836864
69;Domiati Cheese;Fromage Domiati;cheese-white, cheese-domiati;fromage-blanc, fromage-domiati;Dairy;Produits laitiers;Domiati Cheese;Fromage Domiati;2.217406165
70;Emmental Cheese;Fromage Emmental;cheese-emmental;fromage-emmental;Dairy;Produits laitiers;Emmental Cheese;Fromage Emmental;1.644726501
71;Feta Cheese;Fromage Feta;cheese-feta;fromage-feta;Dairy;Produits laitiers;Feta Cheese;Fromage Feta;4.131667624
72;Goat Cheese;Fromage de chèvre;cheese-goat;fromage-chèvre;Dairy;Produits laitiers;Goat Cheese;Fromage de chèvre;3.229332283
73;Gruyere Cheese;Fromage Gruyère;cheese-gruyere;fromage-gruyère;Dairy;Produits laitiers;Gruyere Cheese;Fromage Gruyère;3.115687654
74;Limburger Cheese;Fromage Limburger;cheese-limburger;fromage-limburger;Dairy;Produits laitiers;Limburger Cheese;Fromage Limburger;2.396332542
75;Mozzarella Cheese;Fromage Mozzarella;cheese-mozzarella;fromage-mozzarella;Dairy;Produits laitiers;Mozzarella Cheese;Fromage Mozzarella;1.919298503
76;Munster Cheese;Fromage Munster;cheese-munster;fromage-munster;Dairy;Produits laitiers;Munster Cheese;Fromage Munster;2.433110718
78;Parmesan Cheese;Fromage Parmesan;cheese-parmesan;fromage-parmesan;Dairy;Produits laitiers;Parmesan Cheese;Fromage Parmesan;3.329498901
79;Provolone Cheese;Fromage Provolone;cheese-provolone;fromage-provolone;Dairy;Produits laitiers;Provolone Cheese;Fromage Provolone;3.01814052
80;Romano Cheese;Fromage Romano;cheese-romano;fromage-romano;Dairy;Produits laitiers;Romano Cheese;Fromage Romano;3.282877515
81;Roquefort Cheese;Fromage Roquefort;cheese-roquefort;fromage-roquefort;Dairy;Produits laitiers;Roquefort Cheese;Fromage Roquefort;3.117849515
82;Russian Cheese;Fromage russe;cheese-russia;fromage-russe;Dairy;Produits laitiers;Russian Cheese;Fromage russe;2.317318295
83;Sheep Cheese;Fromage de brebis;cheese-sheep;fromage-mouton;Dairy;Produits laitiers;Sheep Cheese;Fromage de brebis;1.359637938
84;Swiss Cheese;Fromage suisse;cheese-swiss;fromage-suisse;Dairy;Produits laitiers;Swiss Cheese;Fromage suisse;1.74293122
85;Tilsit Cheese;Fromage Tilsit;cheese-tilsit;fromage-tilsit;Dairy;Produits laitiers;Tilsit Cheese;Fromage Tilsit;1.92522379
87;Ghee;Ghee;ghee;ghee;Dairy;Produits laitiers;Ghee;Ghee;1.869479556
88;Milk;Lait;milk;lait;Dairy;Produits laitiers;Milk;Lait;1.962392413
89;Milk Fat;Graisse de lait;milk-fat, cream;lait-gras, crème;Dairy;Produits laitiers;Milk Fat;Graisse de lait;2.195596336
90;Goat Milk;Lait de chèvre;goat-milk;lait de chèvre;Dairy;Produits laitiers;Goat Milk;Lait de chèvre;3.618571387
91;Milk Powder;Poudre de lait;milk-powder;lait-poudre;Dairy;Produits laitiers;Milk Powder;Poudre de lait;1.782135129
92;Sheep Milk;Lait de Mouton;sheep-milk;lait de brebis;Dairy;Produits laitiers;Sheep Milk;Lait de Mouton;1.439036402
93;Skimmed Milk;Lait écrémé;milk-skimmed;lait écrémé;Dairy;Produits laitiers;Skimmed Milk;Lait écrémé;3.149783905
94;Yogurt;Yogourt;yogurt, curd, yoghurt;yaourt, caillé, yaourt;Dairy;Produits laitiers;Yogurt;Yogourt;2.40137303
95;Achilleas;Achilleas;achillea;achillea;Essential Oil;Huile essentielle;Achilleas;Achilleas;5.703285496
96;Arar;Arar;arar;arar;Essential Oil;Huile essentielle;Arar;Arar;5.222863851
97;Buchu;Buchu;buchu;buchu;Essential Oil;Huile essentielle;Buchu;Buchu;3.378244378
98;Cajeput;Cajeput;cajeput;cajeput;Essential Oil;Huile essentielle;Cajeput;Cajeput;3.120559087
99;Camphor;Camphre;camphor;camphre;Essential Oil;Huile essentielle;Camphor;Camphre;3.435017262
100;Cascarilla;Cascarilla;cascarilla;cascarilla;Essential Oil;Huile essentielle;Cascarilla;Cascarilla;4.590885677
101;Cedar;Cèdre;cedar;cèdre;Essential Oil;Huile essentielle;Cedar;Cèdre;3.098143536
102;Chamomile;Camomille;chamomile, camomile;camomille, camomille;Essential Oil;Huile essentielle;Chamomile;Camomille;3.642149222
103;Citronella Oil;Huile de citronnelle;citronella-oil;huile de citronnelle;Essential Oil;Huile essentielle;Citronella Oil;Huile de citronnelle;5.031318089
104;Citrus Peel Oil;Huile de zeste d'agrumes;citrus-peel-oil;huile d'écorce d'agrume;Essential Oil;Huile essentielle;Citrus Peel Oil;Huile de zeste d'agrumes;3.002294843
105;Eucalyptus Oil;Huile d'Eucalyptus;eucalyptus-oil;huile d'eucalyptus;Essential Oil;Huile essentielle;Eucalyptus Oil;Huile d'Eucalyptus;4.65446775
106;Fir;Sapin;fir;sapin;Essential Oil;Huile essentielle;Fir;Sapin;2.750145211
107;Geranium;Géranium;geranium;géranium;Essential Oil;Huile essentielle;Geranium;Géranium;4.340935492
108;Grapefruit Peel Oil;Huile d'écorce de pamplemousse;grapefruit-peel-oil;pamplemousse-écorce-huile;Essential Oil;Huile essentielle;Grapefruit Peel Oil;Huile d'écorce de pamplemousse;4.701706739
109;Grass;Herbe;grass;herbe;Essential Oil;Huile essentielle;Grass;Herbe;4.243391131
110;Hops Oil;Huile de houblon;hops-oil;houblon-huile;Essential Oil;Huile essentielle;Hops Oil;Huile de houblon;4.9255722
111;Hyacinth;Hyacinthe;hyacinth;jacinthe;Essential Oil;Huile essentielle;Hyacinth;Hyacinthe;3.035989503
112;Hyssop Oil;Huile d'hysope;hyssop-oil;huile d'hysope;Essential Oil;Huile essentielle;Hyssop Oil;Huile d'hysope;3.006095707
113;Lemon Grass;Lemon Grass;lemon-grass;citron-herbe;Essential Oil;Huile essentielle;Lemon Grass;Lemon Grass;3.814092601
114;Lemon Peel Oil;Huile d'écorce de citron;lemon-peel-oil;citron-peel-huile;Essential Oil;Huile essentielle;Lemon Peel Oil;Huile d'écorce de citron;2.517496143
115;Lime Peel Oil;Huile d'écorce de citron vert;lime-peel-oil;citron-peel-huile;Essential Oil;Huile essentielle;Lime Peel Oil;Huile d'écorce de citron vert;3.277826291
116;Lovage;Livèche;lovage;livèche;Essential Oil;Huile essentielle;Lovage;Livèche;3.620187226
117;Mandarin Orange Peel Oil;Huile d'écorce de mandarine;mandarin-peel-oil;mandarine-peel-huile;Essential Oil;Huile essentielle;Mandarin Orange Peel Oil;Huile d'écorce de mandarine;4.254607294
118;Mastic Gum;Mastic Gum;mastic;lentisque;Essential Oil;Huile essentielle;Mastic Gum;Mastic Gum;2.6720062
119;Mentha Oil;Huile de menthe;mentha-oil;huile de menthe;Essential Oil;Huile essentielle;Mentha Oil;Huile de menthe;5.619928852
120;Myrrh;Myrrhe;myrrh;myrrhe;Essential Oil;Huile essentielle;Myrrh;Myrrhe;5.440856751
121;Neroli Oil;Huile de Néroli;neroli-oil;huile de néroli;Essential Oil;Huile essentielle;Neroli Oil;Huile de Néroli;2.801275539
122;Orange Oil;Huile d'orange;orange-oil;huile d'orange;Essential Oil;Huile essentielle;Orange Oil;Huile d'orange;4.427927683
123;Orris;Orris;orris;orris;Essential Oil;Huile essentielle;Orris;Orris;5.178639715
124;Clary Sage;Sauge sclarée;clary-sage;sauge sclarée;Essential Oil;Huile essentielle;Clary Sage;Sauge sclarée;5.419948524
125;Red Sage;Sauge rouge;sage-red, sage-wild;sauge-rouge, sauge-sauvage;Essential Oil;Huile essentielle;Red Sage;Sauge rouge;2.606100379
126;Spanish Sage;Sauge espagnole;sage-spanish;sauge-espagnole;Essential Oil;Huile essentielle;Spanish Sage;Sauge espagnole;5.079823115
127;Sandalwood;Bois de santal;sandalwood;bois de santal;Essential Oil;Huile essentielle;Sandalwood;Bois de santal;4.700310751
128;Sea Buckthorns;Argousier;sea-buckthorn;mer-épicorne;Fruit;Fruit;Sea Buckthorns;Argousier;1.289860612
129;Sweet Grass;Herbe douce;sweet-grass;doux-herbe;Essential Oil;Huile essentielle;Sweet Grass;Herbe douce;3.963680734
130;Valerian;Valériane;valerian;valériane;Essential Oil;Huile essentielle;Valerian;Valériane;4.592475884
131;Wattle;Acacia;wattle;acacia;Essential Oil;Huile essentielle;Wattle;Acacia;4.271611685
132;Yarrow;Achillée millefeuille;yarrow;achillée millefeuille;Essential Oil;Huile essentielle;Yarrow;Achillée millefeuille;2.918486312
133;Ylang-Ylang;Ylang-Ylang;ylang-ylang-oil;ylang-huile d'ylang;Essential Oil;Huile essentielle;Ylang-Ylang;Ylang-Ylang;4.405156937
134;Clam;Palourde;clam;palourde;Seafood;Fruits de mer;Clam;Palourde;13.17460874
135;Crab;Crabe;crab;crabe;Seafood;Fruits de mer;Crab;Crabe;7.6415062
136;Crayfish;Écrevisse;cray-fish;crayons-poisson;Seafood;Fruits de mer;Crayfish;Écrevisse;11.27262425
137;Kelp;Varech;kelp;varech;Seafood;Fruits de mer;Kelp;Varech;7.651356066
138;Krill;Krill;krill;krill;Seafood;Fruits de mer;Krill;Krill;11.31709745
139;Lobster;Homard;#lobster#;#homard#;Seafood;Fruits de mer;Lobster;Homard;9.611704968
140;Mollusc;Mollusque;mollusc, mussels;mollusque, moules;Seafood;Fruits de mer;Mollusc;Mollusque;14.71502374
141;Oyster;Huître;oyster;huître;Seafood;Fruits de mer;Oyster;Huître;7.490967654
142;Prawn;Crevette;prawn;crevette;Seafood;Fruits de mer;Prawn;Crevette;8.329599004
143;Scallop;Coquille Saint-Jacques;scallop;coquille Saint-Jacques;Seafood;Fruits de mer;Scallop;Coquille Saint-Jacques;8.444568174
144;Shellfish;Mollusques et crustacés;shellfish;coquillage;Seafood;Fruits de mer;Shellfish;Mollusques et crustacés;10.55675082
145;Shrimp;Crevette;shrimp;crevette;Seafood;Fruits de mer;Shrimp;Crevette;5.278111469
146;Trassi;Trassi;shrimp-paste-dried, trassi;pâte de crevettes-séché, trassi;Seafood;Fruits de mer;Trassi;Trassi;13.31539959
147;Squid;Calmar;squid;calmar;Seafood;Fruits de mer;Squid;Calmar;4.972828079
148;Bonito;Bonito;bonito;bonite;Fish;Poisson;Bonito;Bonito;17.2365653
149;Caviar;Caviar;caviar;caviar;Fish;Poisson;Caviar;Caviar;12.51460204
150;Codfish;Morue;codfish, cod;morue, cabillaud;Fish;Poisson;Codfish;Morue;14.79264089
151;Fish;Poisson;fish, pomfret;poisson, pomfret;Fish;Poisson;Fish;Poisson;15.74167486
152;Fatty Fish;Poisson gras;fish-fatty;poisson gras;Fish;Poisson;Fatty Fish;Poisson gras;10.02498202
153;Lean Fish;Poisson maigre;fish-lean;poisson maigre;Fish;Poisson;Lean Fish;Poisson maigre;11.45749877
154;Fish Oil;Huile de poisson;fish-oil;huile de poisson;Fish;Poisson;Fish Oil;Huile de poisson;13.03875679
155;Smoked Fish;Poisson fumé;fish-smoked;poisson-fumé;Fish;Poisson;Smoked Fish;Poisson fumé;15.27536915
156;Salmon;Saumon;#salmon#;#saumon;Fish;Poisson;Salmon;Saumon;14.12447773
157;Artichoke;Artichauts;artichoke;artichaut;Flower;Légume;Artichoke;Artichauts;1.397512066
158;Champaca;Champaca;champaca;champaca;Flower;Fleur;Champaca;Champaca;1.301508886
159;Jasmine;Jasmin;jasmine;jasmin;Flower;Fleur;Jasmine;Jasmin;0.862527937
160;Lavendar;Lavande;lavendar;lavande;Flower;Fleur;Lavendar;Lavande;1.379122085
161;Rose;Rose;rose;rose;Flower;Fleur;Rose;Rose;0.508081151
162;Apple;Pomme;apple;pomme;Fruit;Fruit;Apple;Pomme;1.452688548
163;Apple Sauce;Sauce aux pommes;#apple-sauce#;#pomme-sauce#;Fruit;Fruit;Apple Sauce;Sauce aux pommes;0.738269078
164;Apricot;Abricot;apricot;abricot;Fruit;Fruit;Apricot;Abricot;0.79359854
165;Avocado;Avocat;avocado;avocat;Fruit;Fruit;Avocado;Avocat;1.163823374
166;Babaco;Babaco;babaco;babaco;Fruit;Fruit;Babaco;Babaco;0.819781429
167;Banana;Banane;banana;banane;Fruit;Fruit;Banana;Banane;1.692393056
168;Beli;Beli;beli;beli;Fruit;Fruit;Beli;Beli;1.385280919
169;Byrsonima crassifolia;Byrsonima crassifolia;byrsonima crassifolia, changunga, nanche, serette;byrsonima crassifolia, changunga, nanche, serette;Fruit;Fruit;Byrsonima crassifolia;Byrsonima crassifolia;1.499042014
170;Cashew Apple;Pomme de cajou;cashew-apple;noix de cajou-pomme;Fruit;Fruit;Cashew Apple;Pomme de cajou;1.876085299
171;Cherimoya;Cherimoya;cherimoya, custard apple;cherimoya, pomme de garde;Fruit;Fruit;Cherimoya;Cherimoya;0.683108529
172;Coconut;Noix de coco;coconut;noix de coco;Fruit;Fruit;Coconut;Noix de coco;1.186312442
173;Currant;Cassis;currant;groseille;Fruit;Fruit;Currant;Cassis;1.273745397
174;Black Currant;Groseille noire;currant-black;groseille noire;Fruit;Fruit;Black Currant;Groseille noire;0.920251849
175;Red Currant;Groseille rouge;currant-red;groseille-rouge;Fruit;Fruit;Red Currant;Groseille rouge;0.836319088
176;White Currant;Groseille blanche;currant-white;groseille-blanche;Fruit;Fruit;White Currant;Groseille blanche;1.27041621
177;Dates;Dattes;date;datte;Fruit;Fruit;Dates;Dattes;1.114645317
178;Durian;Durian;durian;durian;Fruit;Fruit;Durian;Durian;1.837320035
179;Elderberry;Sureau;elder-berry;sureau-mûre;Fruit;Fruit;Elderberry;Sureau;1.538011758
180;Feijoa;Feijoa;feijoa;feijoa;Fruit;Fruit;Feijoa;Feijoa;1.305950207
181;Fig;Figue;fig;figue;Fruit;Fruit;Fig;Figue;1.201479171
182;Grape;Raisin;grape, merlot;raisin, merlot;Fruit;Fruit;Grape;Raisin;0.867489703
183;Guava;Goyave;guava;goyave;Fruit;Fruit;Guava;Goyave;0.911527108
184;Hogplum;Hogplum;hogplum;hogplum;Fruit;Fruit;Hogplum;Hogplum;1.620089814
185;Jackfruit;Fruit du jacquier;jackfruit;jacquier;Fruit;Fruit;Jackfruit;Fruit du jacquier;1.169897295
186;Kiwifruit;Kiwi;kiwi, kiwifruit;kiwi, kiwi-fruit;Fruit;Fruit;Kiwifruit;Kiwi;1.282238246
187;Litchi;Litchi;litchi, lychee, lichee;litchi, litchi, litchi;Fruit;Fruit;Litchi;Litchi;1.124864901
188;Loquat;Loquat;loquat;loquat;Fruit;Fruit;Loquat;Loquat;1.901824919
189;Malay Apple;Pomme malaise;malay-apple;malay-pomme;Fruit;Fruit;Malay Apple;Pomme malaise;1.798918165
190;Mango;Mangue;mango, amchoor, amchur;mangue, amchoor, amchur;Fruit;Fruit;Mango;Mangue;1.362264635
191;Melon;Melon;melon;melon;Fruit;Fruit;Melon;Melon;1.513397248
192;Musk Melon;Melon musqué;musk-melon, honeydew;musc-melon, miellat;Fruit;Fruit;Musk Melon;Melon musqué;0.712833637
193;Naranjilla;Naranjilla;naranjilla;naranjilla;Fruit;Fruit;Naranjilla;Naranjilla;1.203300419
194;Orange;Orange;orange;orange;Fruit;Fruit;Orange;Orange;1.758712431
195;Bitter Orange;Orange amère;orange-bitter, orange-sour;orange-amère, orange-aigre;Fruit;Fruit;Bitter Orange;Orange amère;0.54157269
196;Papaya;Papaye;papaya;papaye;Fruit;Fruit;Papaya;Papaye;0.521103747
197;Mountain Papaya;Papaye de montagne;Papaya-mountain;Papaye-montagne;Fruit;Fruit;Mountain Papaya;Papaye de montagne;1.598447302
198;Passionfruit;Fruit de la passion;passionfruit;fruit de la passion;Fruit;Fruit;Passionfruit;Fruit de la passion;0.765691776
199;Yellow Passionfruit;Fruit de la passion jaune;passionfruit-yellow;fruit de la passion-jaune;Fruit;Fruit;Yellow Passionfruit;Fruit de la passion jaune;1.177804402
200;Pawpaw;Pawpaw;pawpaw;papaye;Fruit;Fruit;Pawpaw;Pawpaw;0.53807241
201;Peach;Pêche;peach, nectarine;pêche, nectarine;Fruit;Fruit;Peach;Pêche;1.992716026
202;Pear;Poire;pear;poire;Fruit;Fruit;Pear;Poire;0.573132642
203;Bartlett Pear;Poire Bartlett;pear-barlett;poire-barlett;Fruit;Fruit;Bartlett Pear;Poire Bartlett;0.752517704
204;Prickly Pear;Figue de Barbarie;pear-prickly;poire à épines;Fruit;Fruit;Prickly Pear;Figue de Barbarie;1.817869888
205;Pepino;Pepino;pepino, cucumber-sweet;pepino, concombre-sucré;Fruit;Fruit;Pepino;Pepino;1.597603742
206;Pineapple;Ananas;pineapple, ananas;ananas, ananas;Fruit;Fruit;Pineapple;Ananas;0.650769187
207;Plum;Prune;plum, prune;prune, pruneau;Fruit;Fruit;Plum;Prune;1.817064203
208;Plumcot;Plumcot;plumcot, aprium;plumcot, aprium;Fruit;Fruit;Plumcot;Plumcot;1.103414158
209;Pumpkin;Citrouille;pumpkin;citrouille;Fruit;Fruit;Pumpkin;Citrouille;1.045907697
210;Quince;Coing;quince;coing;Fruit;Fruit;Quince;Coing;0.703460194
211;Chinese Quince;Coing chinois;quince-chinese;coing-chinois;Fruit;Fruit;Chinese Quince;Coing chinois;0.813497225
212;Raisin;Raisin;raisin, sultana;raisin sec, sultanine;Fruit;Fruit;Raisin;Raisin;1.557049194
213;Roseapple;Ananas;rose-apple, java-apple;rose-pomme, java-pomme;Fruit;Fruit;Roseapple;Ananas;1.374011647
214;Sapodilla;Sapodilla;sapodilla;sapodilla;Fruit;Fruit;Sapodilla;Sapodilla;1.543399647
215;Soursop;Soursop;soursop;corossol;Fruit;Fruit;Soursop;Soursop;1.836613149
216;Spineless Monkey Orange;Orange de singe sans épines;spineless-monkey-orange;spineless-monkey-orange;Fruit;Fruit;Spineless Monkey Orange;Orange de singe sans épines;0.589039907
217;Starfruit;Starfruit;starfruit, carambola;carambole, carambole;Fruit;Fruit;Starfruit;Starfruit;0.833675169
218;Tamarind;Tamarinier;tamarind;tamarin;Fruit;Fruit;Tamarind;Tamarinier;1.10255172
219;Woodapple;Ananas des bois;woodapple;ananas des bois;Fruit;Fruit;Woodapple;Ananas des bois;1.795956713
221;Bilberry;Myrtille;bilberry;myrtille;Fruit;Fruit;Bilberry;Myrtille;1.033144194
